activateable,associateEntityType,associateParentEntity,createable,custom,customSetting,deepCloneable,deletable,deprecatedAndHidden,feedEnabled,hasSubtypes,isInterface,isSubtype,keyPrefix,label,labelPlural,layoutable,mergeable,mruEnabled,name,queryable,replicateable,retrieveable,searchable,triggerable,undeletable,updateable,urls
False,ChangeEvent,Location,False,False,False,False,False,False,False,False,False,False,,Evento de cambio de Ubicación,Evento de cambio de Ubicación,False,False,False,LocationChangeEvent,False,False,True,False,True,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/LocationChangeEvent/{ID}'), ('eventSchema', '/services/data/v57.0/sobjects/LocationChangeEvent/eventSchema'), ('describe', '/services/data/v57.0/sobjects/LocationChangeEvent/describe'), ('sobject', '/services/data/v57.0/sobjects/LocationChangeEvent')])"
False,Feed,Location,False,False,False,False,True,False,False,False,False,False,,Noticias en tiempo real de ubicación,Noticias en tiempo real de ubicación,False,False,False,LocationFeed,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/LocationFeed/{ID}'), ('describe', '/services/data/v57.0/sobjects/LocationFeed/describe'), ('sobject', '/services/data/v57.0/sobjects/LocationFeed')])"
False,History,Location,False,False,False,False,False,False,False,False,False,False,,Historial de ubicación,Historial de ubicación,False,False,False,LocationHistory,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/LocationHistory/{ID}'), ('describe', '/services/data/v57.0/sobjects/LocationHistory/describe'), ('sobject', '/services/data/v57.0/sobjects/LocationHistory')])"
False,Share,Location,True,False,False,False,True,False,False,False,False,False,,Compartir Ubicación,Compartir Ubicación,False,False,False,LocationShare,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/LocationShare/{ID}'), ('describe', '/services/data/v57.0/sobjects/LocationShare/describe'), ('sobject', '/services/data/v57.0/sobjects/LocationShare')])"
False,,,True,False,False,False,True,False,False,False,False,False,20X,Medición de confianza de ubicación,Mediciones de confianza de ubicaciones,True,False,True,LocationTrustMeasure,True,True,True,True,True,True,True,"OrderedDict([('compactLayouts', '/services/data/v57.0/sobjects/LocationTrustMeasure/describe/compactLayouts'), ('rowTemplate', '/services/data/v57.0/sobjects/LocationTrustMeasure/{ID}'), ('approvalLayouts', '/services/data/v57.0/sobjects/LocationTrustMeasure/describe/approvalLayouts'), ('describe', '/services/data/v57.0/sobjects/LocationTrustMeasure/describe'), ('quickActions', '/services/data/v57.0/sobjects/LocationTrustMeasure/quickActions'), ('layouts', '/services/data/v57.0/sobjects/LocationTrustMeasure/describe/layouts'), ('sobject', '/services/data/v57.0/sobjects/LocationTrustMeasure')])"
False,Share,LocationTrustMeasure,True,False,False,False,True,False,False,False,False,False,,Compartir Medición de confianza de ubicación,Compartir Medición de confianza de ubicación,False,False,False,LocationTrustMeasureShare,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/LocationTrustMeasureShare/{ID}'), ('describe', '/services/data/v57.0/sobjects/LocationTrustMeasureShare/describe'), ('sobject', '/services/data/v57.0/sobjects/LocationTrustMeasureShare')])"
False,,,False,False,False,False,False,False,False,False,False,False,04F,Datos de geolocalización de inicio de sesión,Datos de geolocalización de inicio de sesión,False,False,False,LoginGeo,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/LoginGeo/{ID}'), ('describe', '/services/data/v57.0/sobjects/LoginGeo/describe'), ('sobject', '/services/data/v57.0/sobjects/LoginGeo')])"
False,,,False,False,False,False,False,False,False,False,False,False,0Ya,Historial de inicio de sesión,Historial de inicio de sesión,False,False,False,LoginHistory,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/LoginHistory/{ID}'), ('describe', '/services/data/v57.0/sobjects/LoginHistory/describe'), ('sobject', '/services/data/v57.0/sobjects/LoginHistory')])"
False,,,False,False,False,False,True,False,False,False,False,False,710,IP de inicio de sesión,IP de inicio de sesión,False,False,False,LoginIp,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/LoginIp/{ID}'), ('describe', '/services/data/v57.0/sobjects/LoginIp/describe'), ('sobject', '/services/data/v57.0/sobjects/LoginIp')])"
False,,,False,False,False,False,False,False,False,False,False,False,0PH,Logout Event Stream,Logout Event Streams,False,False,False,LogoutEventStream,False,False,False,False,True,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/LogoutEventStream/{ID}'), ('eventSchema', '/services/data/v57.0/sobjects/LogoutEventStream/eventSchema'), ('describe', '/services/data/v57.0/sobjects/LogoutEventStream/describe'), ('sobject', '/services/data/v57.0/sobjects/LogoutEventStream')])"
False,,,False,False,False,False,False,False,False,False,False,False,,Búsquedas de Actividad,Búsquedas de Actividades,False,False,False,LookedUpFromActivity,False,False,False,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/LookedUpFromActivity/{ID}'), ('describe', '/services/data/v57.0/sobjects/LookedUpFromActivity/describe'), ('sobject', '/services/data/v57.0/sobjects/LookedUpFromActivity')])"
False,,,False,False,False,False,False,False,False,False,False,False,873,Modelo de ML,Modelos de ML,False,False,False,MLModel,True,True,True,False,True,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/MLModel/{ID}'), ('approvalLayouts', '/services/data/v57.0/sobjects/MLModel/describe/approvalLayouts'), ('describe', '/services/data/v57.0/sobjects/MLModel/describe'), ('sobject', '/services/data/v57.0/sobjects/MLModel')])"
